Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none_r,other_r
derivation,-0.03153335618529233,0.13456675302388263,-0.026722414164910516,-0.009281694981130411,0.294409246296031,-0.0014989160198960589,0.0752441736605163,0.16919721511774719,-0.03900303143340909,0.3506189557214955,0.18460081760159394,0.014766585362342108,0.05991809103170017,-0.04401277465023856,-0.15374064253318648,-0.04721585462672585,0.02870507135755553,0.10434235120718488,0.095250598646707,0.04489641677658772,1.0,-0.10571315432417708,0.19135680631508037,-0.11011219810814318,-0.13649445395911833,-0.1797647167098087,0.5215152367522651,0.4416343251536783,0.27052814447028833,-0.024088325202240145,0.05804363931281966,0.25436771345912146
externalDependence,0.1203882491579205,0.05574163768230138,-0.004551635595678862,0.2877335306107029,-0.2553358744459708,-0.11705997731085772,0.28839263489390854,-0.08459889751835592,0.16169004425890024,0.08057778280997277,-0.09230072515799867,0.32140262508128253,0.05778989047631264,-0.15190695947847954,0.4497843538639021,-0.008042288517539842,-0.13342943728563433,0.33787854881329,-0.021004815774830425,0.2553358744459708,-0.10571315432417708,1.0,0.1304988753627795,0.3714739987924079,0.5676663803208436,0.4448159369957131,-0.21856681652159163,0.1001619743196727,0.14136139144154378,0.3574143237511664,0.0010177369829928984,-0.0010177369829928984
formal,-0.005231373504786203,0.26755807511625385,-0.06514148267207329,-0.025860897759584667,0.041949659291533374,0.14331366449736596,0.016234028277918176,0.07541323368419388,-0.15697936226853026,0.091057303468942,0.012501149055478826,0.09035334426817436,-0.11640840937833119,-0.04270438613567501,0.13354003947775023,-0.07121721978089966,-0.020498001542269696,0.059329147691642645,0.13451197401977136,-0.09881475299783417,0.19135680631508037,0.1304988753627795,1.0,-0.009012409619336425,0.08482979576579021,0.16323477323606228,0.18170683425813436,0.15697936226853026,0.3611710660153742,-0.04317372147234319,-0.11315580966500179,0.11315580966500179
historicalDependence,0.13905304712518893,0.12131971906222916,0.20232793184362685,0.33820356906626065,-0.3018939103223699,0.007247759457422595,0.06133544440965802,0.025134409570833238,0.16330882657476192,0.0526911147016152,-0.21909237740806456,0.18480354826219028,0.20879107373395434,-0.052118317147581174,0.37780665946155917,-0.055911287242974304,-0.15632803532039247,0.19354039991779096,0.10560279719113638,0.3688594686120592,-0.11011219810814318,0.3714739987924079,-0.009012409619336425,1.0,0.5230582617358547,0.4954084055495062,-0.0040071512922542725,0.08952971203083394,0.09954363896653673,0.5111962531577756,0.07900943396226415,-0.1509433962264151
instantiation,0.16167420496894874,0.08556848092933564,0.05658809555849803,0.28072012970589033,-0.20375875201820498,-0.014782809899727066,0.1523971517744333,0.03907540741166322,0.2651201344170243,-0.030795735209164257,-0.17804119465108248,0.22692094915357408,0.11642995468526798,-0.02262814111007102,0.7803680919760616,-0.014782809899727066,-0.16739766432653122,0.27135819785551524,0.16098274001305,0.39497850391221273,-0.13649445395911833,0.5676663803208436,0.08482979576579021,0.5230582617358547,1.0,0.7552091864243694,-0.13807158553469062,0.0236714405729486,0.06718548123582126,0.4601762718397973,0.09316273760531317,-0.09316273760531317
manifestation,0.10157898798054295,0.009548707598512134,-0.05612484670789666,0.334055564177479,-0.21798483795465512,0.11440766024239918,0.14422707241597288,-0.026581129406054112,0.18319887415775046,-0.049554900622160676,-0.11889907377315151,0.16760813851131062,0.1943903230439456,-0.042514047899495644,0.583803312017654,-0.023787731337528543,-0.1389594985797015,0.24907816273929506,0.12139917500497331,0.3645090816486932,-0.1797647167098087,0.4448159369957131,0.16323477323606228,0.4954084055495062,0.7552091864243694,1.0,-0.1473000912908569,-0.017231577272263657,0.0356411187209919,0.4813904631867037,0.05547542041309575,-0.05547542041309575
material,0.09091354631484795,0.18328911017156313,0.001955042619660519,0.0032679738562091504,0.3372264893407552,0.14002977642204842,0.16132387415011018,0.15316562263529301,-0.01633815521884046,0.27893761836967207,0.15713741188735916,-0.011417715256231727,0.07453180935974202,0.10315379361835822,-0.037797490646770036,0.09710607611177227,-0.02499824542398732,0.18174413832333539,0.3106252850781755,-0.018651907596280708,0.5215152367522651,-0.21856681652159163,0.18170683425813436,-0.0040071512922542725,-0.13807158553469062,-0.1473000912908569,1.0,0.36000279947720876,0.2939749411723372,-0.049002554578455905,-0.09376734023874998,0.1426545860042521
mediation,0.05196871682400611,0.29880292278842857,-0.010785310535189389,-0.0523947736328332,0.19524569391570062,0.13028608877777545,0.2486239978810712,0.22086046648131857,0.10198135198135198,0.7206648849660249,0.1357534558747657,0.16590505771608408,-0.10971038452221392,0.11055623997707367,-0.010785310535189389,-0.04731059089695756,-0.14140842805771972,0.4092907055245792,0.18501009223481357,0.13427964719894037,0.4416343251536783,0.1001619743196727,0.15697936226853026,0.08952971203083394,0.0236714405729486,-0.017231577272263657,0.36000279947720876,1.0,0.3702397950349285,0.11177128964306246,-0.08952971203083394,0.1400974197519531
memberOf,0.08982386624743612,0.717336197978488,0.1758684629658586,0.10639678833224755,0.1533238538759588,0.10805909344783379,0.28057576568648424,0.27388844618271313,-0.13740858372430334,0.25395819834302663,0.10964968063897375,0.0963861554861249,-0.07444769309928645,0.1768205550405934,0.13098153308754323,-0.037343951412119034,-0.024698619121164948,0.22185732505943243,0.39379710309941557,0.20639749560225223,0.27052814447028833,0.14136139144154378,0.3611710660153742,0.09954363896653673,0.06718548123582126,0.0356411187209919,0.2939749411723372,0.3702397950349285,1.0,0.1787638714593372,-0.09954363896653673,0.09954363896653673
participation,0.10969300411145612,0.089628530139527,0.1540939652842293,0.6024801261633232,-0.22718725734273387,-0.06980114800993327,0.09491235775899327,0.06698938453032356,0.24498707090368924,0.06086956521739131,-0.2029720873827034,0.1712061477914577,0.3951236426925666,-0.1039302360778587,0.29165101722088277,0.029219085213460443,-0.17480670002388107,0.3084672448607304,-0.002586924932274627,0.6996334856804646,-0.024088325202240145,0.3574143237511664,-0.04317372147234319,0.5111962531577756,0.4601762718397973,0.4813904631867037,-0.049002554578455905,0.11177128964306246,0.1787638714593372,1.0,0.10907985148755428,0.06008635887026295
none_r,0.1293721387810302,-0.06807869127233003,0.14862952339223773,0.2484433801197649,-0.03293388112607672,-0.007247759457422595,0.08443580658991884,-0.025134409570833238,-0.0116057034114044,-0.0526911147016152,0.007793799986848146,0.05920113667273628,0.11283153984612684,-0.0036574257647425386,0.14862952339223773,0.1190703339433712,0.15632803532039247,0.05139662072505652,-0.05527646415473545,0.16686499770545535,0.05804363931281966,0.0010177369829928984,-0.11315580966500179,0.07900943396226415,0.09316273760531317,0.05547542041309575,-0.09376734023874998,-0.08952971203083394,-0.09954363896653673,0.10907985148755428,1.0,0.07900943396226415
other_r,0.031682972762701274,0.014837663482430905,0.02684920422569456,0.19154183176975423,0.09989943941576603,0.19672489955861328,0.012745027409799069,-0.025972223223194344,-0.08952971203083394,0.0526911147016152,-0.060618444342152245,0.08720167428821965,0.1444665510179381,-0.052118317147581174,0.08534211343167199,0.0704068061578195,0.3344960167517221,0.14455299578922146,0.10560279719113638,-0.03293388112607672,0.25436771345912146,-0.0010177369829928984,0.11315580966500179,-0.1509433962264151,-0.09316273760531317,-0.05547542041309575,0.1426545860042521,0.1400974197519531,0.09954363896653673,0.06008635887026295,0.07900943396226415,1.0
