model_id,element,count
amaral2020game-theory,targetEnd,20
amaral2020game-theory,sourceEnd,20
amaral2020game-theory,Generalization,13
amaral2020game-theory,GeneralizationView,13
amaral2020game-theory,targetView,13
amaral2020game-theory,sourceView,13
amaral2020game-theory,general,13
amaral2020game-theory,specific,13
amaral2020game-theory,situation,6
amaral2020game-theory,Package,4
amaral2020game-theory,characterization,4
amaral2020game-theory,generalization,4
amaral2020game-theory,intrinsicMode,3
amaral2020game-theory,mode,3
amaral2020game-theory,GeneralizationSet,2
amaral2020game-theory,quality,2
amaral2020game-theory,Diagram,2
amaral2020game-theory,historicalDependence,2
amaral2020game-theory,shared,2
amaral2020game-theory,functionalComplex,2
amaral2020game-theory,Text,2
amaral2020game-theory,composite,2
amaral2020game-theory,relator,2
amaral2020game-theory,diagram,2
amaral2020game-theory,isComplete,2
amaral2020game-theory,isDisjoint,2
amaral2020game-theory,datatype,1
amaral2020game-theory,abstract,1
amaral2020game-theory,mediation,1
amaral2020game-theory,roleMixin,1
amaral2020game-theory,Project,1
amaral2020game-theory,externalDependence,1
amaral2020game-theory,participation,1
amaral2020game-theory,bringsAbout,1
amaral2020game-theory,category,1
amaral2020game-theory,participational,1
amaral2020game-theory,triggers,1
amaral2020game-theory,model,1
amaral2020rome,project,384
amaral2020rome,Point,345
amaral2020rome,yCoordinate,345
amaral2020rome,xCoordinate,345
amaral2020rome,point,266
amaral2020rome,name,241
amaral2020rome,isDerived,236
amaral2020rome,containsView,180
amaral2020rome,containsModelElement,140
amaral2020rome,Property,130
amaral2020rome,Cardinality,130
amaral2020rome,upperBound,130
amaral2020rome,isOrdered,130
amaral2020rome,aggregationKind,130
amaral2020rome,cardinality,130
amaral2020rome,lowerBound,130
amaral2020rome,isReadOnly,130
amaral2020rome,cardinalityValue,130
amaral2020rome,none,121
amaral2020rome,propertyType,116
amaral2020rome,relationEnd,116
amaral2020rome,isViewOf,106
amaral2020rome,shape,106
amaral2020rome,Path,101
amaral2020rome,stereotype,86
amaral2020rome,topLeftPosition,79
amaral2020rome,width,79
amaral2020rome,height,79
amaral2020rome,Rectangle,74
amaral2020rome,ClassView,74
amaral2020rome,Relation,58
amaral2020rome,targetEnd,58
amaral2020rome,sourceEnd,58
amaral2020rome,restrictedTo,54
amaral2020rome,Class,48
amaral2020rome,isExtensional,48
amaral2020rome,isPowertype,48
amaral2020rome,order,48
amaral2020rome,isAbstract,48
amaral2020rome,GeneralizationView,32
amaral2020rome,targetView,32
amaral2020rome,sourceView,32
amaral2020rome,Generalization,25
amaral2020rome,general,25
amaral2020rome,specific,25
amaral2020rome,functionalComplex,24
amaral2020rome,attribute,14
amaral2020rome,relator,13
amaral2020rome,characterization,12
amaral2020rome,mediation,12
amaral2020rome,quality,10
amaral2020rome,roleMixin,10
amaral2020rome,generalization,10
amaral2020rome,Diagram,7
amaral2020rome,diagram,7
amaral2020rome,mode,6
amaral2020rome,type,6
amaral2020rome,category,6
amaral2020rome,kind,6
amaral2020rome,externalDependence,6
amaral2020rome,GeneralizationSet,5
amaral2020rome,Package,5
amaral2020rome,intrinsicMode,5
amaral2020rome,Text,5
amaral2020rome,componentOf,5
amaral2020rome,composite,5
amaral2020rome,isDisjoint,5
amaral2020rome,isComplete,5
amaral2020rome,shared,4
amaral2020rome,subkind,3
amaral2020rome,quantity,3
amaral2020rome,collective,3
amaral2020rome,instantiation,3
amaral2020rome,datatype,2
amaral2020rome,abstract,2
amaral2020rome,phaseMixin,2
amaral2020rome,extrinsicMode,1
amaral2020rome,Project,1
amaral2020rome,model,1
amaral2022ethical-requirements,project,132
amaral2022ethical-requirements,Point,95
amaral2022ethical-requirements,xCoordinate,95
amaral2022ethical-requirements,yCoordinate,95
amaral2022ethical-requirements,isDerived,75
amaral2022ethical-requirements,point,71
amaral2022ethical-requirements,containsModelElement,57
amaral2022ethical-requirements,containsView,55
amaral2022ethical-requirements,name,45
amaral2022ethical-requirements,shape,38
amaral2022ethical-requirements,isViewOf,38
amaral2022ethical-requirements,Property,34
amaral2022ethical-requirements,Cardinality,34
amaral2022ethical-requirements,isOrdered,34
