model_id,type,count
guarino2018rea,GeneralizationView,5
guarino2018rea,Package,2
guarino2018rea,Project,1
guarino2018rea,GeneralizationSet,1
guarino2018rea,Diagram,1
guarino2018rea,Text,1
guizzardi2005ontological,Point,225
guizzardi2005ontological,Path,60
guizzardi2005ontological,Property,53
guizzardi2005ontological,Cardinality,50
guizzardi2005ontological,Class,43
guizzardi2005ontological,ClassView,43
guizzardi2005ontological,Rectangle,43
guizzardi2005ontological,Generalization,35
guizzardi2005ontological,GeneralizationView,35
guizzardi2005ontological,Relation,25
guizzardi2005ontological,Package,2
guizzardi2005ontological,Project,1
guizzardi2005ontological,GeneralizationSet,1
guizzardi2005ontological,Diagram,1
guizzardi2005ontological,Text,1
guizzardi2020decision-making,Point,312
guizzardi2020decision-making,Property,122
guizzardi2020decision-making,Cardinality,122
guizzardi2020decision-making,Path,91
guizzardi2020decision-making,ClassView,70
guizzardi2020decision-making,Rectangle,70
guizzardi2020decision-making,Relation,61
guizzardi2020decision-making,Class,54
guizzardi2020decision-making,GeneralizationView,19
guizzardi2020decision-making,Generalization,15
guizzardi2020decision-making,Diagram,5
guizzardi2020decision-making,Project,1
guizzardi2020decision-making,Package,1
guizzardi2022ufo,Point,286
guizzardi2022ufo,Property,83
guizzardi2022ufo,Cardinality,83
guizzardi2022ufo,Path,76
guizzardi2022ufo,Class,62
guizzardi2022ufo,ClassView,62
guizzardi2022ufo,Rectangle,62
guizzardi2022ufo,Relation,40
guizzardi2022ufo,Generalization,36
guizzardi2022ufo,GeneralizationView,36
guizzardi2022ufo,Package,9
guizzardi2022ufo,GeneralizationSet,8
guizzardi2022ufo,Text,8
guizzardi2022ufo,Diagram,6
guizzardi2022ufo,Literal,4
guizzardi2022ufo,Project,1
haridy2021egyptian-e-government,Point,113
haridy2021egyptian-e-government,Class,32
haridy2021egyptian-e-government,Property,32
haridy2021egyptian-e-government,Cardinality,32
haridy2021egyptian-e-government,ClassView,32
haridy2021egyptian-e-government,Rectangle,32
haridy2021egyptian-e-government,Path,30
haridy2021egyptian-e-government,Relation,16
haridy2021egyptian-e-government,Generalization,14
haridy2021egyptian-e-government,GeneralizationView,14
haridy2021egyptian-e-government,Diagram,2
haridy2021egyptian-e-government,Project,1
haridy2021egyptian-e-government,Package,1
heirbrant2023boekbazaar,Property,240
heirbrant2023boekbazaar,Cardinality,116
heirbrant2023boekbazaar,Relation,59
heirbrant2023boekbazaar,Class,42
