model,abstract,abstractNature,aggregationKind,attribute,begin,bringsAbout,cardinality,Cardinality,cardinalityValue,categorizer,category,characterization,Class,collective,collectiveNature,comparative,componentOf,composite,creation,datatype,derivation,description,end,enumeration,event,eventNature,externalDependence,extrinsicModeNature,functionalComplexNature,general,generalization,Generalization,GeneralizationSet,historicalDependence,historicalRole,historicalRoleMixin,instantiation,intrinsicModeNature,isAbstract,isComplete,isDerived,isDisjoint,isExtensional,isOrdered,isPowertype,isReadOnly,kind,literal,Literal,lowerBound,manifestation,material,mediation,memberOf,mixin,mode,name,none,Note,order,participation,participational,phase,phaseMixin,property,Property,propertyType,quality,qualityNature,quantity,quantityNature,redefinesProperty,Relation,relationEnd,relator,relatorNature,restrictedTo,role,roleMixin,shared,situation,situationNature,sourceEnd,specific,stereotype,subCollectionOf,subkind,subQuantityOf,subsetsProperty,targetEnd,termination,triggers,type,typeNature,upperBound
lindeberg2022full-ontorights,0,0,230,0,0,4,214,214,214,0,17,22,190,0,0,9,14,8,5,0,4,0,0,0,32,0,0,0,0,155,62,155,29,0,0,0,0,0,190,29,535,29,190,230,190,230,20,14,14,213,0,20,25,3,0,12,367,209,0,190,2,0,9,0,0,230,230,10,0,0,0,0,115,230,45,0,186,12,8,13,18,0,115,155,297,0,68,0,0,115,2,1,0,0,213
lindeberg2022simple-ontorights,29,0,344,210,0,3,121,121,121,0,1,0,61,0,0,8,11,2,3,9,1,0,0,20,6,0,0,0,0,11,4,11,2,0,0,0,0,0,61,2,472,2,61,344,61,344,10,55,55,121,0,13,16,1,0,0,395,331,0,61,2,0,1,0,0,344,329,0,0,0,0,0,67,134,11,0,61,5,2,11,6,0,67,11,121,0,2,0,0,67,2,0,0,0,121
machacova2023gym,0,0,51,9,0,0,42,42,42,0,1,8,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,16,25,7,0,0,0,0,0,41,7,113,7,41,51,41,51,8,0,0,42,0,3,6,0,1,1,73,47,0,41,0,0,7,1,0,51,42,14,0,0,0,0,21,42,11,0,41,6,1,4,0,0,21,25,62,0,5,0,0,21,0,0,0,0,42
maddalena2021ontocovid,0,0,147,3,0,0,144,144,144,0,1,12,74,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,61,43,61,9,0,0,0,0,0,74,9,293,9,74,147,74,147,8,0,0,108,0,0,0,0,0,6,161,147,0,74,0,0,5,0,0,147,144,2,0,0,0,0,72,144,7,0,65,14,0,0,0,0,72,61,88,0,27,0,0,72,0,0,0,0,108
martinez2013human-genome,0,0,30,0,0,0,30,30,30,0,0,0,10,10,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,0,10,1,55,1,10,30,10,30,1,0,0,24,0,2,4,2,0,0,21,26,0,10,0,0,0,0,0,30,30,0,0,0,0,0,15,30,4,0,10,3,0,0,0,0,15,3,25,2,0,0,0,15,0,0,0,0,24
mgic-antt2011,17,0,6906,798,0,0,6108,6108,6108,0,104,104,5231,203,0,0,197,320,0,0,73,1569,0,17,0,0,0,0,0,3607,0,3607,0,0,0,0,0,0,5231,0,15191,0,5231,6906,5231,6906,441,51,51,3770,0,167,1103,115,37,173,8154,6575,0,5231,0,0,109,0,0,6906,6137,0,0,46,0,0,3054,6108,1552,0,3062,1066,220,11,0,0,3054,3607,8277,12,789,2,0,3054,0,0,44,0,3770
moreira2018saref4health,1,0,26,6,0,0,24,24,24,0,1,2,19,3,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,19,0,55,0,19,26,19,26,4,0,0,24,0,0,0,0,0,0,42,24,0,19,0,0,1,0,0,26,21,4,0,2,0,0,10,20,0,0,14,1,0,0,0,0,10,11,26,0,4,0,0,10,0,0,0,0,24
nardi2015ufo-s,0,0,96,0,0,0,96,96,96,0,3,6,27,11,0,0,0,10,0,0,0,0,0,0,12,0,6,0,0,9,0,9,0,0,0,0,0,0,27,0,171,0,27,96,27,96,0,0,0,96,0,0,6,1,0,6,104,86,0,27,4,0,0,0,0,96,96,0,0,9,0,0,48,96,6,0,45,0,8,0,0,0,48,9,75,0,0,0,0,48,0,0,0,0,96
nascimento2023spacecon,0,0,30,0,0,0,30,30,30,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,18,0,63,0,18,30,18,30,4,0,0,30,0,0,0,0,0,0,41,30,0,18,0,0,0,0,0,30,30,0,0,0,0,0,15,30,0,0,0,1,0,0,0,0,15,4,16,0,0,0,0,15,0,0,0,0,30
neves2020nwpontology,1,0,47,3,0,0,44,44,44,0,1,0,35,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,19,0,19,0,0,0,0,0,0,35,0,104,0,35,47,35,47,13,0,0,4,0,0,0,0,0,0,64,47,0,35,0,0,0,0,0,47,44,0,0,0,0,0,22,44,0,0,33,4,0,0,4,0,22,19,35,0,11,0,0,22,0,0,0,0,4
neves2021grain-production,5,0,32,0,0,0,32,32,32,0,7,0,18,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,18,0,66,0,18,32,18,32,4,0,0,0,0,0,0,0,0,0,30,20,0,18,0,0,0,0,0,32,32,0,0,0,0,0,16,32,0,0,18,0,0,7,0,0,16,2,18,0,2,0,0,16,0,0,0,0,0
niederkofler2019dssapple,6,0,88,2,0,0,86,86,86,0,13,4,68,4,0,0,1,3,0,6,0,0,0,0,18,0,0,0,0,51,0,51,0,2,0,0,5,0,68,0,199,0,68,88,68,88,5,0,0,66,1,0,8,2,1,5,94,83,0,68,8,0,1,0,0,88,86,14,0,0,0,0,43,86,8,0,64,5,0,2,0,0,43,51,107,0,4,0,0,43,0,0,12,0,66
o3ontology2015,0,0,440,0,0,0,440,440,440,0,32,5,303,0,0,0,9,25,0,0,2,3,0,0,26,0,0,0,0,295,0,295,0,0,0,0,0,0,303,0,963,0,303,440,303,440,9,0,0,423,0,7,43,2,13,18,634,410,0,303,0,0,2,0,0,440,440,0,0,0,0,0,220,440,50,0,231,31,17,5,0,0,220,295,381,1,13,1,0,220,0,0,120,0,423
oliveira2007collaboration,1,0,40,0,0,0,40,40,40,0,3,0,20,4,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,9,0,9,0,0,0,0,0,0,20,0,80,0,20,40,20,40,4,0,0,37,0,0,0,0,0,1,47,37,0,20,0,0,0,0,0,40,40,0,0,4,0,0,20,40,0,0,24,0,1,3,0,0,20,9,20,0,4,0,0,20,0,0,0,0,37
oliveira2022rose,0,0,172,0,0,4,170,170,170,0,5,15,63,0,0,0,0,2,0,0,0,0,0,0,28,0,2,0,0,23,18,23,8,4,0,0,7,0,63,8,321,8,63,172,63,172,0,0,0,105,3,0,0,0,0,0,151,163,0,63,7,0,0,0,0,172,172,8,0,0,0,0,86,172,8,0,63,0,16,7,12,0,86,23,108,0,4,0,0,86,0,3,24,0,105
pereira2015doacao-orgaos,0,0,18,0,0,0,18,18,18,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,20,3,0,0,0,0,0,25,3,52,3,25,18,25,18,4,0,0,18,0,0,6,0,0,0,33,15,0,25,0,0,8,0,0,18,18,0,0,0,0,0,9,18,4,0,23,4,2,3,0,0,9,20,31,0,2,0,0,9,0,0,0,0,18
pereira2020ontotrans,0,0,134,0,0,0,134,134,134,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,236,0,35,134,35,134,0,0,0,0,0,0,0,0,0,0,105,134,0,35,0,0,0,0,0,134,134,0,0,0,0,0,67,134,0,0,35,0,35,0,0,0,67,0,35,0,0,0,0,67,0,0,0,0,0
piest2024dsr-kb,0,0,132,0,0,0,132,132,132,0,1,16,84,0,0,3,8,8,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,1,0,0,0,0,84,0,282,0,84,132,84,132,13,0,0,126,1,16,21,0,2,7,159,124,0,84,0,0,4,0,0,132,132,26,0,0,0,0,66,132,16,0,84,5,0,0,0,0,66,50,150,0,35,0,0,66,0,0,0,0,126
pinheiro2024api,4,0,93,25,0,0,67,67,67,0,0,0,28,2,0,1,0,0,1,4,5,0,0,0,10,0,0,0,0,7,0,7,0,2,1,0,0,0,28,0,155,0,28,93,28,93,7,0,0,67,0,4,12,1,0,0,72,88,0,28,4,0,0,0,0,93,88,0,0,0,0,0,34,68,12,0,28,2,0,5,0,0,34,7,58,0,2,0,0,34,0,0,0,0,67
plato-ontology2019,2,0,162,22,0,0,140,140,140,0,2,4,73,9,0,0,24,23,0,2,1,71,0,0,0,0,0,0,0,36,5,36,1,0,0,0,0,0,73,1,305,1,73,162,73,162,27,0,0,139,0,2,6,7,0,4,143,125,0,73,0,0,2,0,0,162,151,0,0,0,0,0,70,140,6,0,73,5,0,14,0,0,70,36,117,0,24,0,0,70,0,0,0,0,139
porello2020coex,0,0,74,0,0,0,74,74,74,0,1,5,17,0,0,0,2,6,1,0,0,0,0,0,8,0,6,0,0,2,0,2,0,1,0,0,2,0,17,0,128,0,17,74,17,74,0,0,0,74,1,0,4,0,0,5,56,68,0,17,4,0,0,0,0,74,74,0,0,0,0,0,37,74,4,0,17,0,2,0,0,0,37,2,43,0,0,0,0,37,0,0,6,0,74
ppo-o2021,0,0,84,0,0,2,84,84,84,0,2,1,59,0,0,0,0,7,0,0,1,0,0,0,2,0,0,0,0,35,22,35,11,0,0,0,0,0,59,11,185,11,59,84,59,84,15,0,0,43,0,1,0,0,0,0,184,77,0,59,6,0,0,0,0,84,84,6,0,0,0,0,42,84,2,0,56,0,0,0,6,0,42,35,72,0,30,0,0,42,0,2,0,0,43
public-expense-ontology2020,0,0,52,0,0,0,52,52,52,0,1,0,42,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,25,21,25,9,0,0,0,0,0,42,9,120,9,42,52,42,52,16,0,0,45,0,0,0,0,0,0,80,46,0,42,0,0,0,0,0,52,52,0,0,0,0,0,26,52,34,0,42,7,1,0,0,0,26,25,48,0,0,0,0,26,0,0,0,0,45
quality-assurance-process-ontology2017,0,0,56,0,0,0,56,56,56,0,0,0,37,0,0,0,1,9,0,0,0,0,0,0,18,0,0,0,0,33,9,33,3,0,0,0,0,0,37,3,121,3,37,56,37,56,0,0,0,18,0,0,0,0,0,0,62,46,0,37,0,0,0,0,0,56,56,0,0,0,0,0,28,56,0,0,9,4,0,1,0,0,28,33,17,0,3,0,0,28,0,0,0,0,18
ramirez2015userfeedback,3,0,72,0,0,0,72,72,72,0,1,7,50,0,0,0,9,1,0,0,0,0,0,3,0,0,0,0,0,26,2,26,1,0,0,0,0,0,50,1,158,1,50,72,50,72,9,12,12,67,0,0,12,0,0,22,97,63,0,50,0,0,0,0,0,72,72,0,0,0,0,0,36,72,8,0,49,6,2,8,0,0,36,26,78,0,3,0,0,36,0,0,0,0,67
ramos2021bias,0,0,60,0,0,0,60,60,60,0,3,8,49,1,0,0,0,0,3,0,0,0,0,0,12,0,1,0,0,34,0,34,0,0,0,0,1,0,49,0,139,0,49,60,49,60,1,0,0,41,4,0,0,0,0,20,90,54,0,49,6,0,0,0,0,60,60,16,0,1,0,0,30,60,0,0,53,2,6,6,0,0,30,34,73,0,4,0,0,30,0,0,2,0,41
repa2021public-administration,0,0,18,0,0,0,18,18,18,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,25,0,52,0,25,18,25,18,1,0,0,13,0,0,2,0,0,0,37,17,0,25,0,0,13,0,0,18,18,0,0,0,0,0,9,18,2,0,11,7,0,1,0,0,9,22,27,0,2,0,0,9,0,0,0,0,13
rocha2023ciencia-aberta,0,0,44,0,0,0,12,12,12,0,1,0,24,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,7,14,3,0,0,0,0,0,24,3,90,3,24,44,24,44,9,0,0,12,0,0,6,0,2,0,45,34,0,24,0,0,2,0,0,44,44,0,0,0,0,0,22,44,2,0,24,6,0,8,0,0,22,14,30,0,1,0,0,22,0,0,0,0,12
rodrigues2017urinary-profiles,0,0,124,0,0,0,124,124,124,0,2,3,63,0,0,0,0,0,0,0,4,0,0,0,22,0,0,0,0,51,0,51,0,0,0,0,0,0,63,0,249,0,63,124,63,124,1,0,0,98,0,4,11,0,0,3,192,116,0,63,7,0,1,0,0,124,124,0,0,11,0,0,62,124,12,0,40,10,6,8,8,0,62,51,104,0,1,0,0,62,0,0,0,0,98
rodrigues2019ontocrime,0,0,114,0,0,0,114,114,114,0,4,0,106,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,123,21,123,9,0,0,0,0,0,106,9,277,9,106,114,106,114,6,0,0,113,0,0,12,0,2,0,405,110,0,106,0,0,7,0,0,114,114,0,0,0,0,0,57,114,0,0,35,21,6,1,0,0,57,123,63,0,0,0,0,57,0,0,0,0,113
rodrigues2019turbidite,0,0,207,9,0,0,198,198,198,0,1,0,69,0,0,0,0,23,0,0,3,0,0,0,8,0,0,0,0,36,6,36,3,0,17,0,0,0,69,3,375,3,69,207,69,207,2,0,0,86,0,0,14,0,0,0,120,184,0,69,11,0,4,0,0,207,198,0,0,15,0,0,99,198,12,0,52,9,4,0,16,0,99,36,126,0,2,0,0,99,0,0,0,0,86
romanenko2023what,0,0,62,0,0,0,58,58,58,0,0,7,55,2,0,0,0,3,2,0,0,0,0,0,4,0,1,0,0,37,28,37,11,0,0,0,0,0,55,11,148,11,55,62,55,62,4,0,0,56,0,0,10,3,0,2,107,56,0,55,3,0,10,0,0,62,62,10,0,0,0,0,31,62,14,0,55,7,1,3,0,0,31,37,81,0,18,0,0,31,0,0,0,0,56
sales2018competition,0,0,65,3,0,0,65,65,65,0,2,0,27,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,6,16,3,0,0,0,0,0,27,3,123,3,27,65,27,65,0,0,0,56,0,0,0,0,1,2,63,60,0,27,0,0,2,0,0,65,62,4,0,11,0,0,31,62,10,0,49,2,8,1,0,0,31,16,27,0,2,0,0,31,0,0,2,0,56
sales2018cover,0,0,116,0,0,3,116,116,116,0,12,11,63,4,0,0,0,2,0,0,0,0,0,0,30,0,2,0,0,59,40,59,20,5,0,0,2,0,63,20,237,20,63,116,63,116,0,0,0,82,3,0,6,0,0,0,181,107,0,63,11,0,0,0,0,116,116,11,0,3,0,0,58,116,17,0,82,0,13,7,8,0,58,59,108,0,12,0,0,58,0,2,4,0,82
santos2020valuenetworks,0,0,12,0,0,0,12,12,12,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,15,0,33,0,15,12,15,12,5,0,0,10,0,0,0,0,0,0,26,12,0,15,0,0,0,0,0,12,12,0,0,0,0,0,6,12,0,0,9,0,0,0,0,0,6,10,15,0,6,0,0,6,0,0,0,0,10
sariev2024maritime,0,0,124,0,0,0,60,60,60,0,1,15,83,2,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,33,27,33,12,0,0,0,0,0,83,12,269,12,83,124,83,124,15,0,0,58,0,0,12,0,0,0,205,120,0,83,0,0,17,0,0,124,124,30,0,0,0,0,62,124,38,0,83,6,0,1,0,0,62,33,113,0,5,0,0,62,0,0,0,0,58
schoonderbeek2024eamon,0,0,258,2,0,0,257,257,257,0,0,1,47,4,0,0,5,2,0,0,30,20,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,47,0,433,0,47,258,47,258,12,0,0,256,0,30,60,0,0,0,102,251,0,47,0,0,0,0,0,258,256,2,0,0,0,0,128,256,60,0,47,2,0,5,0,0,128,2,173,0,0,0,0,128,0,0,0,0,256
services2015,0,0,182,0,0,0,182,182,182,0,4,14,124,2,0,0,9,9,0,0,1,0,0,0,0,0,2,0,0,101,0,101,0,0,0,0,0,0,124,0,397,0,124,182,124,182,5,0,0,152,0,1,10,1,0,8,283,167,0,124,0,0,0,0,0,182,182,0,0,0,0,0,91,182,10,0,33,0,10,6,0,0,91,101,92,0,0,0,0,91,0,0,0,0,152
sikora2021online-education,0,0,116,0,0,0,116,116,116,0,12,9,65,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,47,20,47,7,0,0,0,0,0,65,7,239,7,65,116,65,116,25,0,0,114,0,32,4,0,0,5,115,105,0,65,0,0,0,0,0,116,116,8,0,0,0,0,58,116,4,0,64,0,0,8,0,0,58,47,109,0,16,0,0,58,0,0,0,0,114
silva2012itarchitecture,0,0,68,2,0,0,68,68,68,0,9,0,84,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,70,66,70,18,0,0,0,0,0,84,18,185,18,84,68,84,68,27,0,0,67,0,2,4,0,0,0,126,65,0,84,0,0,0,0,0,68,66,0,0,0,0,0,33,66,20,0,84,6,0,0,0,0,33,70,90,0,32,0,0,33,0,0,0,0,67
silva2021sebim,0,0,53,9,0,0,18,18,18,0,1,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,42,0,117,0,42,53,42,53,14,0,0,18,0,0,2,0,0,2,56,39,0,42,0,0,0,0,0,53,44,4,0,0,0,0,22,44,2,0,42,4,0,14,0,0,22,22,45,0,18,0,0,22,0,0,0,0,18
silva2023onto4caal,4,0,172,0,0,0,46,46,46,0,10,20,193,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,127,0,127,0,0,0,0,0,0,193,0,451,0,193,172,193,172,29,0,0,46,0,0,0,0,1,42,206,172,0,193,0,0,0,0,0,172,172,54,0,0,0,0,86,172,0,0,192,6,1,0,0,0,86,127,212,0,72,0,0,86,0,0,0,0,46
silva2023onto4elev,0,0,154,0,0,0,2,2,2,0,6,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0,0,0,0,0,0,197,0,428,0,197,154,197,154,59,0,0,2,0,0,0,0,0,42,224,154,0,197,0,0,0,0,0,154,154,50,0,0,0,0,77,154,0,0,152,12,1,0,0,0,77,120,193,0,48,0,0,77,0,0,0,0,2
silveira2021oap,0,0,50,0,0,0,50,50,50,0,7,3,32,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,15,7,15,3,0,0,0,0,0,32,3,107,3,32,50,32,50,8,0,0,50,0,8,2,2,0,3,64,47,0,32,0,0,0,0,0,50,50,0,0,0,0,0,25,50,2,0,27,9,2,2,0,0,25,15,51,0,2,0,0,25,0,0,0,0,50
spmo2017,0,0,80,26,0,0,54,54,54,0,0,0,34,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,32,2,32,1,0,0,0,0,0,34,1,141,1,34,80,34,80,0,0,0,54,0,0,2,0,0,8,138,72,0,34,0,0,0,0,0,80,54,0,0,0,0,0,27,54,2,0,16,0,1,0,0,0,27,32,19,0,1,0,0,27,0,0,0,0,54
spo2017,0,0,186,8,0,0,178,178,178,0,7,0,109,0,0,0,0,12,0,0,0,0,0,0,34,0,0,0,0,118,11,118,4,0,0,0,0,0,109,4,384,4,109,186,109,186,11,0,0,176,0,2,0,0,0,10,354,166,0,109,0,0,0,0,0,186,178,0,0,0,0,0,89,178,2,0,72,5,3,8,0,0,89,118,77,0,2,0,0,89,0,0,38,0,176
tesolin2023hint,0,0,125,19,0,0,63,63,63,0,0,3,38,0,0,0,0,1,0,0,5,0,0,0,3,0,4,0,0,21,8,21,4,0,0,0,0,0,38,4,216,4,38,125,38,125,3,0,0,56,0,0,2,0,0,3,114,124,0,38,0,0,0,0,0,125,106,0,0,0,0,0,53,106,2,0,35,13,0,0,5,0,53,21,34,0,0,0,0,53,0,0,0,0,56
valaski2020medical-appointment,0,0,14,0,0,0,14,14,14,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7,0,28,0,7,14,7,14,4,0,0,14,0,3,2,0,0,0,14,14,0,7,0,0,0,0,0,14,14,0,0,0,0,0,7,14,2,0,7,2,0,0,0,0,7,2,14,0,0,0,0,7,0,0,0,0,14
van-ee2021modular,4,0,203,71,0,1,132,132,132,0,12,1,100,3,0,1,6,6,0,4,0,0,0,0,46,0,0,0,0,78,16,78,6,0,0,0,0,0,100,6,369,6,100,203,100,203,15,0,0,126,0,51,2,0,0,1,263,197,0,100,1,0,3,0,0,203,175,22,0,0,0,0,66,132,6,0,95,0,0,0,6,0,66,78,158,0,25,0,0,66,0,0,0,0,126
van-wingerde2020smart-contracts,0,0,84,0,0,0,84,84,84,0,2,0,39,4,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,7,0,7,0,0,0,0,0,0,39,0,165,0,39,84,39,84,15,0,0,70,0,0,0,0,0,1,105,77,0,39,0,0,1,1,0,84,84,0,0,0,0,0,42,84,4,0,28,4,2,2,0,0,42,7,39,0,1,0,0,42,0,0,0,0,70
vieira2020weathering,0,0,120,0,0,0,120,120,120,0,6,5,39,0,0,0,0,6,1,0,1,1,0,0,10,0,0,0,0,26,10,26,5,0,2,0,0,0,39,5,219,5,39,120,39,120,2,0,0,66,0,1,2,0,0,0,96,114,0,39,6,0,0,0,0,120,113,10,0,6,0,0,60,120,2,0,36,1,1,0,24,0,60,26,53,0,0,0,0,60,0,0,0,0,66
weigand2021artifact,2,0,92,0,0,2,92,92,92,0,9,4,52,0,0,0,2,4,3,0,0,0,0,0,18,0,0,0,0,29,14,29,5,7,0,4,7,0,52,5,190,5,52,92,52,92,0,0,0,92,3,6,0,0,0,1,92,88,0,52,10,0,0,7,0,92,92,4,0,0,0,0,46,92,1,0,48,0,5,0,8,0,46,29,92,0,0,0,0,46,0,0,12,0,92
xhani2023xmlpo,0,0,184,0,0,0,166,166,166,0,4,19,119,0,0,0,0,14,9,0,0,0,0,0,42,0,0,0,0,54,12,54,6,0,0,0,0,0,119,6,395,6,119,184,119,184,24,0,0,166,0,0,18,0,0,0,140,169,0,119,30,7,3,0,0,184,184,36,0,0,0,0,92,184,18,0,113,8,0,1,0,0,92,54,202,0,32,0,0,92,0,0,0,0,166
zanetti2019orm-o,0,0,44,0,0,0,44,44,44,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,24,2,0,0,0,0,0,34,2,100,2,34,44,34,44,3,0,0,44,0,0,17,0,0,0,44,44,0,34,0,0,0,0,0,44,44,2,0,0,0,0,22,44,28,0,30,14,0,0,0,0,22,24,52,0,2,0,0,22,0,0,0,0,44
zhou2017hazard-ontology-robotic-strolling,0,0,28,0,0,0,28,28,28,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,55,0,13,28,13,28,4,0,0,0,0,0,0,0,0,0,29,28,0,13,0,0,0,0,0,28,28,0,0,0,0,0,14,28,6,0,7,6,0,0,0,0,14,0,13,0,0,0,0,14,0,0,0,0,0
zhou2017hazard-ontology-train-control,0,0,60,0,0,0,60,60,60,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,115,0,25,60,25,60,10,0,0,0,0,0,0,0,0,0,44,60,0,25,0,0,0,0,0,60,60,0,0,0,0,0,30,60,10,0,15,10,0,0,0,0,30,0,25,0,0,0,0,30,0,0,0,0,0
