Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
type,0.031695656491590486,0.5475291296521816,0.26829886739666076,0.17535164146363919,0.11459646597985568,0.5200589560282687,0.08457458537654503,0.09268668664845169,0.4604563718839269,0.22690391743211624,0.501999191754892,0.2476086696151077,0.1241368873614026,0.23490739268301147,0.1333219427022198,0.42606670709645583,0.46669763640413414,0.5340307775760889,0.15990090028394938,0.5333580048456698,1.0524190811131595,0.13061660272701509,0.5100215749775204,0.05719604919992587,0.3425421188948847,0.23449650294446367,0.1514108373490451,0.332651454487761,0.2614855880584389,0.266511065476014,0.5855907706153773,0.3364014349773099,0.30615008863714754,0.5166318094975352,0.2679794115775885,0.37055474016385787,0.06492358998931502,0.1357102232576463,0.1320127153703625,0.06066954004000972,0.1273844051596788
bringsAbout,0.028933070527436933,0.24790173824746842,0.03592215900335484,0.08590928299180421,0.03530036957189425,0.2924226358052028,0.004264891496494734,0.019212182558327226,0.17466314588046664,0.017436747543138065,0.12478849226139016,0.09626294561559931,0.034479199476357476,0.1737630370005548,0.010567773843850076,0.10909818357827097,0.11862317005863138,0.19699215175693277,0.3320355414249354,0.263474897699144,0.13061660272701509,0.44941365653609217,0.25979262564971284,0.09128798261285771,0.12316116869651252,0.06396275640175514,0.05174179944507197,0.10786466469046821,0.03734929216504813,0.13381836451877704,0.11129687250927041,0.10855922541423393,0.17377356564970206,0.16756280000960738,0.04289416655144818,0.273628429714287,0.027013914569448613,0.0051407297588664524,0.0033968534332530637,0.05496030526120189,0.20256938198386662
characterization,0.019236393956716343,0.8580475100823485,0.3917076563269215,0.2795116277466945,0.161431009812003,0.7333255901647436,0.06816655612341083,0.021389229844970242,1.0132040078593663,0.2993324585671874,0.9401948726415499,0.52298186345589,0.10735117483399678,0.8079819270678453,0.22449041206335868,0.8034312321320956,0.8789231729868842,0.6663230311983491,0.33718664547471555,1.1035082403390675,0.5100215749775204,0.25979262564971284,2.2014233471935487,0.14045464933479673,0.6503600393565174,0.2868501320479007,0.3980190804150453,0.43788107671875504,0.336153855832338,0.30432355596354416,0.3574564832285951,0.27797818779385347,0.7585624657181058,0.9855825522569108,0.39749682172158124,0.5334594398736183,0.08149585126578499,0.12842805650471334,0.13093750645744956,0.06840803841060922,0.24054349997248278
comparative,0.0004082930922835043,0.13985639451697093,0.052364505708094033,0.12416048990619402,0.05003757223962633,0.13487064637624355,0.037333892730862225,0.0012352790455034054,0.16761757147822975,0.0820713615841916,0.1474804008574205,0.12039443746796302,0.0033662580542501985,0.10397319787208131,0.03562174361622202,0.15056819145724723,0.12675026224407276,0.06677623472283059,0.08430912300319149,0.20607642593756428,0.05719604919992587,0.09128798261285771,0.14045464933479673,0.2710409022630075,0.17315333936185187,0.0817742363586394,0.07381181729629449,0.010382246130414663,0.010887910889417443,0.04690832233256381,0.007929705172798313,0.033235620246900584,0.21700160196344756,0.17310189034573054,0.09257350276912048,0.10399827492518761,0.0016540908430276446,0.0025026610878161742,0.0016540908430276446,0.08365471593375423,0.030062294607317963
componentOf,0.025241796749204536,0.567465186101731,0.3812190220554453,0.3208938171019899,0.18161789905595702,0.4418865898445384,0.038736619602930226,0.04137333118350192,0.8668068730272152,0.25273264389133027,0.6338001040167572,0.4583655752110821,0.10169730345336361,0.32585210437707285,0.18636728274746833,0.7383947941220154,0.6765673638516563,0.45838944080362676,0.14183456843894549,0.9193669506720705,0.3425421188948847,0.12316116869651252,0.6503600393565174,0.17315333936185187,1.5772054723089168,0.20501034254587425,0.37232565186274036,0.17903475077028594,0.28720841437685035,0.16604316909894828,0.1975238891926068,0.14658070319639127,0.6867076089499314,0.7464542981478612,0.37734594422095896,0.27656174722076104,0.03632465699815095,0.17175211091656928,0.12567222338717438,0.07479340280084526,0.0635813878749257
creation,0.026878830371212428,0.2306166322491891,0.150019242159793,0.11663775127753309,0.037648888994743654,0.5139954050205149,0.1509509723954675,0.08950689415008081,0.34500693368567054,0.027757295617483607,0.2666042914671231,0.23126161364601583,0.042994110034062394,0.17938323881422336,0.06937456057086289,0.2616932530357246,0.27203804445935253,0.28853358428575077,0.09440468285172231,0.3302923186717721,0.23449650294446367,0.06396275640175514,0.2868501320479007,0.0817742363586394,0.20501034254587425,0.7163049743791817,0.12360578383413795,0.18852702176568914,0.06185970588511517,0.1686591503873824,0.23809261025943837,0.1897197017366116,0.20689837765179822,0.37510188027364644,0.16310925050242767,0.48692890420771195,0.11101712055832758,0.07259230537863356,0.03989597040390215,0.12525501685295704,0.034349316191425325
derivation,0.0031159967286930462,0.35400221527411385,0.23399763069183505,0.1139054102990825,0.0858143376046359,0.29556290320365847,0.09763294166698243,0.009442577256837205,0.5884355137078529,0.14179900980493404,0.32063772374286287,0.33000557611737247,0.027872337556496374,0.1531883105459123,0.15838683041531215,0.6114512298547218,0.5189049904159765,0.33376753263319137,0.1464756009176259,0.5368271829691033,0.1514108373490451,0.05174179944507197,0.3980190804150453,0.07381181729629449,0.37232565186274036,0.12360578383413795,1.1772029672681417,0.0803236840651886,0.25596097642604687,0.06084920632021074,0.057800868340795654,0.03630715096185934,0.7001913255444726,0.6691276970837224,0.23535812643614085,0.13423027450263517,0.012654469118759247,0.1363558588335534,0.09078427351874706,0.042174354017772794,0.05456501326281287
externalDependence,0.0016906895761404708,0.27131300259515506,0.13341327619100843,0.09867301024615441,0.03810564521380201,0.37041255523751954,0.08781741446144697,0.05304806749224698,0.33656424500320914,0.05511504360080829,0.3184674532917301,0.17616604649680168,0.06108120949484171,0.18426710169302,0.07199449105599043,0.23048452454593382,0.32744352773789825,0.3889685053719607,0.10547949982596153,0.3913564757829748,0.332651454487761,0.10786466469046821,0.43788107671875504,0.010382246130414663,0.17903475077028594,0.18852702176568914,0.0803236840651886,0.8504548182222013,0.15686713915777095,0.1900196869505688,0.3411929824783221,0.24300334852387767,0.13909291063674822,0.409777221495082,0.1432237456356438,0.3425249490781779,0.08879619019512172,0.028697354282176277,0.02534219089878044,0.07716066848578323,0.10721553684105234
formal,0.0017728130060299038,0.3671444402317098,0.2482654987202767,0.11699081645501558,0.07292743824962938,0.2709838497312822,0.03216229519827622,0.02866991118103833,0.39200397133913545,0.21247392392463016,0.3148186280969539,0.23032559396767888,0.014657161615792502,0.14510999768056343,0.1245452633463217,0.4094109509117598,0.42295582997769404,0.40437114618888154,0.0764747623568782,0.4075285539858751,0.2614855880584389,0.03734929216504813,0.336153855832338,0.010887910889417443,0.28720841437685035,0.06185970588511517,0.25596097642604687,0.15686713915777095,0.9163260828821667,0.0895985633485353,0.1190250432859686,0.12664200791597052,0.3108018150100898,0.4738890601505471,0.2702022861391524,0.16182504796720398,0.007190403002132251,0.1462185898947787,0.08639662943836696,0.007190403002132251,0.03605030744339772
historicalDependence,0.03594970644089502,0.2431368180197283,0.09971325641688025,0.14392104319139692,0.03408833509380031,0.38183769171371496,0.057147564353370615,0.07659917466531102,0.21965473492766246,0.04434542007473535,0.1549115842785778,0.12446709455577168,0.07434966102537668,0.16325558638558108,0.02870602063653664,0.19460180408176203,0.16606182013072301,0.28455143805504945,0.12233336692555674,0.27439244684322883,0.266511065476014,0.13381836451877704,0.30432355596354416,0.04690832233256381,0.16604316909894828,0.1686591503873824,0.06084920632021074,0.1900196869505688,0.0895985633485353,0.5921761580593148,0.2571867958432209,0.18726319513963444,0.14980563138680314,0.29186851551731097,0.09378706541423956,0.385191456327161,0.079589773699818,0.05761623202425437,0.027921622207921284,0.02848439837899406,0.11552159261435442
instantiation,0.035949706440895006,0.3146820282116149,0.1477597995513793,0.1527819800802635,0.07314954306842142,0.35858264721404676,0.08660964106662294,0.10339459634014293,0.3018908698456177,0.03580650598684126,0.26127568183957467,0.1625561175906161,0.13964243870732518,0.20733564135161642,0.049533317284620126,0.24277260710799306,0.2206621512915535,0.3769511452356057,0.1097038651217179,0.33609782813771455,0.5855907706153773,0.11129687250927041,0.3574564832285951,0.007929705172798313,0.1975238891926068,0.23809261025943837,0.057800868340795654,0.3411929824783221,0.1190250432859686,0.2571867958432209,0.706805729141622,0.3624646487092444,0.13794050470461083,0.3260037883916102,0.12932229611079243,0.36825509223442543,0.05438089171348845,0.02666398622548498,0.024134417503956368,0.06990562752555707,0.09331895400827767
manifestation,0.028933070527436926,0.22378565773574416,0.060526778554022456,0.07239785734425763,0.024640685951784203,0.3011271630903583,0.08545886758534169,0.05432370895981788,0.20106970785528158,0.04468043501662033,0.20163931921393058,0.1004878153684919,0.03501126765077213,0.17394842704546348,0.034292797487969935,0.1480788665291871,0.1822379490245195,0.26622724357048944,0.11442226770475804,0.2276407483181873,0.3364014349773099,0.10855922541423393,0.27797818779385347,0.033235620246900584,0.14658070319639127,0.1897197017366116,0.03630715096185934,0.24300334852387767,0.12664200791597052,0.18726319513963444,0.3624646487092444,0.5070665546631095,0.07657165447051886,0.22283634054439574,0.056748567055123086,0.32080791773498923,0.003696616010150776,0.005594622869974135,0.003696616010150776,0.04977906569750708,0.10225455756821687
material,0.02524179674920457,0.6362378745357277,0.38336022592787183,0.27037286543883204,0.18833947279645757,0.5665907161575083,0.06553833011923524,0.02334196459047049,0.960358965459299,0.22253833664684003,0.6069401486129711,0.5499613004314986,0.10185069823030282,0.4082178397020717,0.17247875235342452,0.8334824179205433,0.7468058372073472,0.48500191681448257,0.23774774663807205,0.9621465259542932,0.30615008863714754,0.17377356564970206,0.7585624657181058,0.21700160196344756,0.6867076089499314,0.20689837765179822,0.7001913255444726,0.13909291063674822,0.3108018150100898,0.14980563138680314,0.13794050470461083,0.07657165447051886,1.8111633231210817,0.9958216985204964,0.39673922978631454,0.31448977014193036,0.03411257818070585,0.15233163078145096,0.13869426209312113,0.09233936871056256,0.09725894700881818
mediation,0.008232846390968496,0.8383079704435885,0.5789937659517062,0.381056608150027,0.18266973328178504,0.7483400238168878,0.1530157240887662,0.06367040253756541,1.1591487239394178,0.3626144210279946,0.8537159695688595,0.7475133141419243,0.09569080951964778,0.5756770864396381,0.2919871282254361,1.4551165602379434,1.0866797322472743,0.7495003291486115,0.24746876168524326,1.2830913028828959,0.5166318094975352,0.16756280000960738,0.9855825522569108,0.17310189034573054,0.7464542981478612,0.37510188027364644,0.6691276970837224,0.409777221495082,0.4738890601505471,0.29186851551731097,0.3260037883916102,0.22283634054439574,0.9958216985204964,2.397869349664764,0.577075591349432,0.5269811174294541,0.13822128066792322,0.20871340327699334,0.17720882658061343,0.10015517313032793,0.1296766479530348
