Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
type,0.023359272845672567,0.4297242937878195,0.19283716938725606,0.12877347478519377,0.09735688360286245,0.4744965296972217,0.1074081680354648,0.13517024335046468,0.3998047151230367,0.1683260997485603,0.4062418492148539,0.22253307866903443,0.09063610673026823,0.21093371494026386,0.09395635944589013,0.3548725719571213,0.393134985964339,0.45325123255846794,0.15871882243820698,0.4677475183926718,0.984272254329007,0.17126489978135534,0.10209840324190919,0.14122035380682374,0.4524643930503667,0.03722906673962614,0.25997248691422487,0.22728100509404636,0.14080587659105995,0.28917886805294124,0.24597635381320918,0.5014577295128031,0.35118971281931244,0.2573377154057062,0.43319087562248504,0.1825037327477467,0.3599277074594871,0.07200733641555941,0.12085339819811487,0.09785573344787983,0.0682981452995564,0.13239747679764827,0.6162834765632278,0.2235391526765859
none_c,0.014745222841978007,0.26421479798819303,0.08205992345861851,0.07913315559629576,0.008535320987809715,0.29833700030806076,0.02805599254992059,0.01694548297061587,0.32412508326442135,0.0938828636508456,0.2924670855542587,0.13688156753476877,0.02922373295643898,0.1857365777147955,0.026788237422125917,0.2157542883539607,0.32725625309151923,0.22512323328947875,0.08512546112004812,0.33509065429602114,0.17126489978135534,0.6704809233163904,0.08678011929154811,0.05785155273878967,0.23894649757830844,0.05041719335366619,0.15688607848940217,0.08280871030556533,0.11947342656096277,0.08981274725332358,0.053014881724913226,0.05994617067288448,0.04516107198193597,0.2137250092804997,0.24687269290990757,0.0927621723230856,0.12303056894395137,0.025076126055078633,0.04769646409378707,0.050562320499526844,0.01990168717267545,0.01698763689463511,0.501739521525129,0.12843622117573233
other_c,0.0018341784189300006,0.1869328773876031,0.0635454687469105,0.0711894557763681,0.006893661934766232,0.22986917858701808,0.039582154417271136,0.003702080924511797,0.23820296482279574,0.07656315949386866,0.1624934638949402,0.15674121533098864,0.031149132757433546,0.06833809666699789,0.05742715166039003,0.20683396379913266,0.2539671708490844,0.15885903411146293,0.14365088628421782,0.253228433802301,0.10209840324190919,0.08678011929154811,0.5679021129079754,0.022728169018603837,0.1508308108033652,0.004966706494944455,0.11095685623052015,0.016403551058412215,0.10978035557198687,0.03650407601627503,0.014289425019891382,0.014289425019891423,0.012904066542557595,0.14517789916010884,0.19917122051921435,0.0729745055521984,0.03952335701723904,0.00307562300754783,0.025130918129933847,0.020950491938549247,0.003702080924511797,0.020867304499711026,0.4030461745883188,0.18417698253304854
bringsAbout,0.01232317315619252,0.19610313387496883,0.03942451075860639,0.05827030140088565,0.048340363315409335,0.2585257271157387,0.018175218363152012,0.03720349054227865,0.1495102686312058,0.021268539278303286,0.10137808542179894,0.07463626048210481,0.025517322485480342,0.13872129865311195,0.007310904765582701,0.08939917411803525,0.11581693460492481,0.17301752444628937,0.27620615221581846,0.1857927908827547,0.14122035380682374,0.05785155273878967,0.022728169018603837,0.407099023494229,0.21354438313521767,0.057672546527096996,0.09366621316651137,0.06749615267224873,0.03804656749586746,0.09303423253279709,0.10940027611990293,0.09643590162744102,0.13325060604614353,0.1286776895194763,0.13066732200958747,0.030962629171709687,0.2549689279094125,0.028925957907686418,0.005690275987507862,0.0020252301020699734,0.06172134647473826,0.18509785362605088,0.24036779779869358,0.053047710604536905
characterization,0.03634589114348104,0.6972087944151932,0.2992858131822097,0.23451590975104136,0.12736376014370648,0.6519970208671061,0.09617714061200838,0.0626089842342934,0.8287055542225873,0.21197111647431716,0.8271966809160696,0.4124530785618376,0.07576070295906734,0.7047005465584493,0.1954268271089563,0.6140160295766072,0.6709720410511785,0.5403607433175285,0.29732217013289547,0.8636272897310313,0.4524643930503667,0.23894649757830844,0.1508308108033652,0.21354438313521767,2.028989516618531,0.12468495382182075,0.5192935794623068,0.2891941694754977,0.2777806415826892,0.39885866610100174,0.2909652308080012,0.3216303654719915,0.32242397255717337,0.5607664184202779,0.7540380855959359,0.30942070310974323,0.49255471765661474,0.07733443180326707,0.1054303994112783,0.09534738067101287,0.08360259927669844,0.20472609899774363,1.0384318358759117,0.3691065750922303
comparative,0.03563571034883463,0.10566401708483582,0.032769122433166584,0.08738405795318765,0.037239633499429325,0.11327568075578462,0.03197065427043708,0.012544422380917766,0.13098203433762481,0.05977442720268986,0.10953422341072278,0.08615038258158278,0.002140337763092824,0.07985449626445415,0.027188314904572724,0.1087136889545068,0.10328716208260091,0.053558512711155096,0.06084207204436852,0.16997289190598663,0.03722906673962614,0.05041719335366619,0.004966706494944455,0.057672546527096996,0.12468495382182075,0.24678216044682896,0.14052010609441687,0.07276214147296106,0.05252226633632841,0.028902383381913362,0.03554507670727017,0.014595830967365404,0.04454310144883225,0.14800359998378526,0.11894435968874956,0.0669069285602385,0.0790543020540265,0.0013257852814850951,0.0029698429075872904,0.0010574982432102545,0.06268847748073099,0.022210534548223027,0.11392778201250153,0.017682414355125416
componentOf,0.035997931070389386,0.49272868078189586,0.3833736193667086,0.24751714108934222,0.14565430273222135,0.33438486483732244,0.03190104628519051,0.04790785212150385,0.8121672053298402,0.17934133837426286,0.44476324403659123,0.4148595909248928,0.07264707139394151,0.2997360155275939,0.16588457660782344,0.6373084388848602,0.603782875345089,0.3760173940954005,0.10938963513719671,0.8320569323421833,0.25997248691422487,0.15688607848940217,0.11095685623052015,0.09366621316651137,0.5192935794623068,0.14052010609441687,1.6447491594287704,0.14309218700597487,0.31851433628385256,0.1330917761027258,0.11789486830583232,0.15393490956084166,0.1122820284422701,0.542258079589825,0.6973852864849358,0.3329144465686259,0.21475058202127034,0.027919025591976836,0.16044606933562905,0.0917794752256153,0.06175085523345687,0.04986794097729065,0.7083422767091928,0.41838089539651885
creation,0.02993307032680238,0.1964439420457323,0.09212331205304183,0.08808984237971061,0.052169029007563636,0.4737708219470453,0.19096642241789916,0.12256326305022613,0.2673284869154568,0.02084637559140304,0.22776971441167373,0.191078145255858,0.03152644361675969,0.14123352963561683,0.05463324660014444,0.2113224128943036,0.21916540129824288,0.22403467951814998,0.07709224651381162,0.2918626998783872,0.22728100509404636,0.08280871030556533,0.016403551058412215,0.06749615267224873,0.2891941694754977,0.07276214147296106,0.14309218700597487,0.6738220330997305,0.0985427413204601,0.19454847193110264,0.18665283753604067,0.204752088219396,0.24144616390830825,0.16932261945313826,0.29104371862986306,0.08666425933495865,0.4541585979312165,0.06827688339926782,0.037932208764489786,0.018764860840040153,0.14414001451784691,0.0301652352474798,0.42731405483636153,0.08586548614436555
derivation,0.007387341387098838,0.27066021847445493,0.22803892728117645,0.15801488895819177,0.06773496147222068,0.19981199098065883,0.06126085935685768,0.014936490987659683,0.4994943782240117,0.11594888303606714,0.20130396826825023,0.3081651373117183,0.02006519336827242,0.11483557235114134,0.10387525683337946,0.5798086479190464,0.49119975345591754,0.2638135045990837,0.09329191343092082,0.42597024440791087,0.14080587659105995,0.11947342656096277,0.10978035557198687,0.03804656749586746,0.2777806415826892,0.05252226633632841,0.31851433628385256,0.0985427413204601,1.2930143053584304,0.06310792237617244,0.05662092307844069,0.05327977260643946,0.04321230487284573,0.6857268359580331,0.662534000902079,0.18974371850531843,0.09969132128285794,0.01240168434489132,0.15468676184807775,0.06428554044571735,0.03300708873394657,0.033063641800274865,0.5106635129146999,0.3395912913336303
externalDependence,0.025982648406531677,0.22906607628334902,0.10369830789363342,0.08290344344696937,0.049765763147433334,0.37780275626601323,0.12700966899098357,0.06660145956125126,0.2750533135309283,0.03765105734557615,0.3053395708123699,0.147430370844797,0.04593875163072253,0.18014681695395954,0.051645354891279055,0.19473726544118705,0.2627822381006939,0.317139297514765,0.12725779939258258,0.32429067879527423,0.28917886805294124,0.08981274725332358,0.03650407601627503,0.09303423253279709,0.39885866610100174,0.028902383381913362,0.1330917761027258,0.19454847193110264,0.06310792237617244,0.7651288190579978,0.17628133853213168,0.2871902615714851,0.26526846690334355,0.1367919291340611,0.30825682080472544,0.0947839795494609,0.3199978496498063,0.07568712817882751,0.022622036377759665,0.015758856057540994,0.10003536926755145,0.09512046096963983,0.45591146353373085,0.12685344815028843
historicalDependence,0.02559167960687362,0.18040787276457348,0.07380605985199995,0.09787333628759232,0.016084210349418718,0.352418694619996,0.07632017123795445,0.1055341032194267,0.18937518895670374,0.037163953519773675,0.11222382632087222,0.09672391741108585,0.051209419770771786,0.15454806131494703,0.02631260176600404,0.15425021245292564,0.14591808350461477,0.2389016015408486,0.12014867089698163,0.22743600857505594,0.24597635381320918,0.053014881724913226,0.014289425019891382,0.10940027611990293,0.2909652308080012,0.03554507670727017,0.11789486830583232,0.18665283753604067,0.05662092307844069,0.17628133853213168,0.5638878846351429,0.24493269235984144,0.25161506449282994,0.12799338878622785,0.20195304439426492,0.0670472806477657,0.38601700983695925,0.07162382066932853,0.039864292562036295,0.021386520572672457,0.04334477119426107,0.11306667452102767,0.320500429167303,0.075162078139693
instantiation,0.02829360622650471,0.2544555807690017,0.1120822826811827,0.11032777414271587,0.0476964640937871,0.346038231022393,0.07981130072777506,0.11391686631333434,0.2540682444256133,0.02885403423009799,0.23031389530199065,0.12499524077482525,0.10239925703884534,0.18308911325873103,0.05123663918168421,0.20028131998496612,0.18360000292289103,0.3175173350854894,0.10981795716468737,0.29271056779838706,0.5014577295128031,0.05994617067288448,0.014289425019891423,0.09643590162744102,0.3216303654719915,0.014595830967365404,0.15393490956084166,0.204752088219396,0.05327977260643946,0.2871902615714851,0.24493269235984144,0.6361960329873276,0.3326309843837753,0.12369781076303223,0.25020434302626965,0.08515927274846984,0.3561942688802003,0.06373356810649257,0.023662104298741004,0.01843031637061287,0.051959106218011336,0.1048255676425649,0.40512563463492984,0.08335715969844901
manifestation,0.037581792710665786,0.20379109115533628,0.05536716764567155,0.06529781004233497,0.03721036253647701,0.3476693932890533,0.14855739925223443,0.10250087778996855,0.19174484638460648,0.04967830184107179,0.19481984055766433,0.10184180210212394,0.0253576858792725,0.17027389392154502,0.0316259748343973,0.13455945928038446,0.17625953779554554,0.2530215168603544,0.12280548054245528,0.2468384707358648,0.35118971281931244,0.04516107198193597,0.012904066542557595,0.13325060604614353,0.32242397255717337,0.04454310144883225,0.1122820284422701,0.24144616390830825,0.04321230487284573,0.26526846690334355,0.25161506449282994,0.3326309843837753,0.560977718978564,0.09624671627528114,0.18357546403199862,0.04604445363519621,0.3659790407997329,0.02670237673518464,0.0077090685204195784,0.0027427533944070354,0.09215893625952824,0.11423252773084042,0.3664289577184187,0.08750775512732513
