Element Pair,Jaccard Similarity
"('aggregationKind', 'collectiveNature')",0.0
"('aggregationKind', 'comparative')",0.05
"('aggregationKind', 'componentOf')",0.375
"('aggregationKind', 'composite')",0.6
"('aggregationKind', 'ConnectorView')",0.0
"('aggregationKind', 'containsModelElement')",0.9917355371900827
"('aggregationKind', 'containsView')",0.9834710743801653
"('aggregationKind', 'creation')",0.15
"('aggregationKind', 'datatype')",0.21666666666666667
"('aggregationKind', 'DecoratableElement')",0.0
"('aggregationKind', 'derivation')",0.325
"('aggregationKind', 'description')",0.175
"('aggregationKind', 'diagram')",0.9834710743801653
"('aggregationKind', 'Diagram')",0.9834710743801653
"('aggregationKind', 'DiagramElement')",0.0
"('aggregationKind', 'ElementView')",0.0
"('aggregationKind', 'end')",0.0
"('aggregationKind', 'enumeration')",0.06666666666666667
"('aggregationKind', 'event')",0.45
"('aggregationKind', 'eventNature')",0.0
"('aggregationKind', 'externalDependence')",0.18333333333333332
"('aggregationKind', 'extrinsicModeNature')",0.0
"('aggregationKind', 'functionalComplexNature')",0.0
"('aggregationKind', 'general')",0.9586776859504132
"('aggregationKind', 'generalization')",0.6
"('aggregationKind', 'Generalization')",0.9586776859504132
"('aggregationKind', 'GeneralizationSet')",0.6
"('aggregationKind', 'GeneralizationSetView')",0.0
"('aggregationKind', 'GeneralizationView')",0.7851239669421488
"('aggregationKind', 'height')",0.8181818181818182
"('aggregationKind', 'historicalDependence')",0.13333333333333333
"('aggregationKind', 'historicalRole')",0.03333333333333333
"('aggregationKind', 'historicalRoleMixin')",0.025
"('aggregationKind', 'instantiation')",0.14166666666666666
"('aggregationKind', 'intrinsicModeNature')",0.0
"('aggregationKind', 'isAbstract')",0.9917355371900827
"('aggregationKind', 'isComplete')",0.6
"('aggregationKind', 'isDerived')",0.9917355371900827
"('aggregationKind', 'isDisjoint')",0.6
"('aggregationKind', 'isExtensional')",0.9917355371900827
"('aggregationKind', 'isOrdered')",1.0
"('aggregationKind', 'isPowertype')",0.9917355371900827
"('aggregationKind', 'isReadOnly')",1.0
"('aggregationKind', 'isViewOf')",0.8181818181818182
"('aggregationKind', 'kind')",0.8416666666666667
"('aggregationKind', 'literal')",0.06666666666666667
